Parameter	Default	Type	Description
x*	"Retention Time"	str	X-axis data.
y*	"mass-to-charge"	str	Y-axis data.
reference_spectrum	None	pd.DataFrame | None	Reference spectrum data.
mirror_spectrum	False	bool	Whether to mirror the spectrum.
bin_peaks	False	Union[Literal["auto"], bool]	Whether to bin peaks.
bin_method	"mz-tol-bin"	Literal["none", "sturges", "freedman-diaconis", "mz-tol-bin"]	Method for binning peaks.
num_x_bins	50	int	Number of bins along the X-axis.
mz_tol	"1pct-diff"	Union[float, Literal["freedman-diaconis", "1pct-diff"]]	Tolerance for m/z binning.
annotate_top_n_peaks	5	int	Number of top peaks to annotate.
annotate_mz	True	bool	Whether to annotate m/z values.
xlabel	"mass-to-charge"	str	Label for the X-axis.
ylabel	"Intensity"	str	Label for the Y-axis.
title	"Mass Spectrum"	str	Title of the plot.
