Parameter	Default	Type	Description
x*		str	The column name for x-axis data
y*		str	The column name for y-axis data
by		str	The column name to group by. Will result in separate line traces per group
backend		str	'Backend to use. One of: [ “ms_matplotlib”, “ms_bokeh”, “ms_plotly” ]. Must be specified if not set globally
annotation_data		DataFrame	DataFrame of annotation data with columns [‘leftWidth’, ‘rightWidth’]
annotation_colormap	"Dark2"	str	Colormap for annotations
annotation_line_width	3	float	Width of the annotation lines
annotation_line_type	"solid"	str	Type of the annotation lines
relative_intensity	False	bool	Convert y-axis values to relative intensity
height		500	int	Height of plot, units dependent on backend.
width		500	int	Width of plot in pixels, units dependent on backend.
grid	True	bool	Whether to show grid on the plot
toolbar_location	"above"	str	Location of toolbar for interactive plots. One of: ["above", "below", "left"]
fig	None	fig	Existing figure object to plot on. Useful for matplotlib backend 
xlabel	"Retention Time"	str	Label for x axis
ylabel	"Intensity"	str	Label for y axis
title	"Chromatogram"	str	Title of the plot
show_plot	True	bool	Whether to display the plot. If plot is not shown, will return the plot object corresponding with the backend. If plot is displayed the method returns None
